t,M_forecast,M_realised,M_estimate
1,-2.4226436875477946,-2.1892552477436915,-1.0767305277990198
2,-2.4226436875477946,-1.839414444975624,-1.1365488904545207
3,-1.4420630118568742,-1.4724602963365907,-0.8190388096559149
4,-0.28861733472902973,1.2626766247131591,-0.3375997501985565
5,-0.28861733472902973,-0.4035436171979963,-0.19634269963636145
6,-0.28861733472902973,-0.8853985334368534,-0.15487678195287496
7,0.5109430279385401,0.373435195470155,0.12667601643961993
8,0.5109430279385401,0.42985589456804707,0.20932911927124864
9,0.5109430279385401,0.48093202731561374,0.2335929085036281
10,0.5109430279385401,0.44262469644795904,0.2407158290965531
11,0.5109430279385401,0.3978898951822901,0.24280684618833723
12,0.5109430279385401,0.3630129050321905,0.24342068884242557
13,0.5109430279385401,0.4685876470243006,0.24360088957131054
14,0.5109430279385401,0.2793581452246305,0.24365378961414097
15,0.5109430279385401,0.46691527758455664,0.24366931904373218
16,0.5109430279385401,0.11725676310818224,0.24367387789038947
17,0.5109430279385401,0.2090719771797996,0.24367521619343036
18,0.5109430279385401,0.702006767577557,0.24367560906802427
19,0.5109430279385401,0.3309692024836841,0.24367572440098084
20,0.5109430279385401,0.46547912077864406,0.2436757582583264
