t,M_forecast,M_realised,M_estimate
1,-2.4226436875477946,-2.0241028683651012,-2.0241028683651012
2,-2.4226436875477946,-2.254124276040401,-2.254124276040401
3,-1.4420630118568742,-1.6535607422432537,-1.6535607422432537
4,-0.28861733472902973,1.568107851886118,1.568107851886118
5,-0.28861733472902973,-0.2316187002866297,-0.2316187002866297
6,-0.28861733472902973,-0.3741325145771088,-0.3741325145771088
7,0.5109430279385401,0.46608144556769954,0.46608144556769954
8,0.5109430279385401,0.004657855986635042,0.004657855986635042
9,0.5109430279385401,0.3125857512300409,0.3125857512300409
10,0.5109430279385401,0.32071077077693555,0.32071077077693555
11,0.5109430279385401,0.6437818644450551,0.6437818644450551
12,0.5109430279385401,0.43153339283910697,0.43153339283910697
13,0.5109430279385401,0.15244790041738543,0.15244790041738543
14,0.5109430279385401,0.008122312952902,0.008122312952902
15,0.5109430279385401,0.5236120847772966,0.5236120847772966
16,0.5109430279385401,0.41726803218745945,0.41726803218745945
17,0.5109430279385401,0.5134124946861004,0.5134124946861004
18,0.5109430279385401,0.5143868903285433,0.5143868903285433
19,0.5109430279385401,0.44344426172091234,0.44344426172091234
20,0.5109430279385401,0.21738619171029966,0.21738619171029966
