t,M_forecast,M_realised,M_estimate
1,0.06420805304090238,0.20611374282605555,0.051366442432721905
2,-0.020974521904291388,0.03738424280189856,0.006934248898757232
3,-0.14145437219292323,-0.21031884462312667,-0.07533071968110858
4,-0.2681214977392136,-0.4562277573680948,-0.1773688188920075
5,0.41203242072817226,0.09542103161332965,0.15254423985146126
6,0.30761349573529223,0.5425662106060556,0.23027545136507563
7,0.21896495786565257,0.3785261442139822,0.21364436341267612
8,0.14548135863781914,-0.09571798192098627,0.1667323078389024
9,0.08555682233757253,-0.007345562272422668,0.11484695379430976
10,0.03725267245684219,0.205299868839721,0.067272692117059
11,-0.001358238553135549,0.25123784249756687,0.026751893825930614
12,-0.0320298828475481,0.020446317073011644,-0.00655217167355614
13,-0.056281773158512294,-0.5513791079190666,-0.03340228751023341
14,-0.07539042047098976,-0.22437377016511903,-0.05480704577223154
15,-0.09040644859839242,0.0424090685775861,-0.07175218421633688
16,-0.10218233865047466,0.0011352106221501346,-0.08510593326153902
17,-0.11140277996398756,-0.18942806424377212,-0.09559690140616321
18,-0.11861361064258369,-0.031880986518328824,-0.10382083610985167
19,-0.12424757303221917,0.1401095678621035,-0.11025744691378263
20,-0.12864632304799634,-0.1539771725025368,-0.11528929580865327
