t,Y_t,Y_ttc
0,0.0,0.0
1,0.005066816636653989,0.004699999999999999
2,0.013007254173423763,0.009368999999999999
3,0.024703316016267154,0.0140060135
4,0.03781941549191387,0.018610317315
5,0.04842566583377231,0.0231814129894175
6,0.05514537990159333,0.027718993199936925
7,0.05901474805683968,0.03222291252928331
8,0.06137035580929189,0.0366931620685649
9,0.0631020556958348,0.04112984737189869
10,0.06478641837976573,0.045533169345113825
11,0.0669562828621903,0.04990340770138311
12,0.07029983269265089,0.05424090666150991
13,0.07553089547473874,0.05854606261604077
14,0.08260076433376091,0.06281931350103935
15,0.09012965999088228,0.06706112966982022
16,0.09650363490206718,0.07127200606970965
17,0.10118097770001554,0.07545245555641963
18,0.10451597010858156,0.07960300319928452
19,0.10707085017074602,0.0837241814487601
20,0.1093133559717476,0.08781652605352812
