t,Y_t,Y_ttc
0,0.0,0.0
1,0.005381315764123528,0.004699999999999999
2,0.017089544189530872,0.009368999999999999
3,0.04084866093531425,0.0140060135
4,0.07175953666894803,0.018610317315
5,0.09469611996863772,0.0231814129894175
6,0.10569995901787374,0.027718993199936925
7,0.11003049335664399,0.03222291252928331
8,0.11175298053628517,0.0366931620685649
9,0.11259928619285378,0.04112984737189869
10,0.11325768449995277,0.045533169345113825
11,0.11416326661612103,0.04990340770138311
12,0.11606732704248521,0.05424090666150991
13,0.1206194578737482,0.05854606261604077
14,0.1294593614502748,0.06281931350103935
15,0.14054882734163332,0.06706112966982022
16,0.1494261789431507,0.07127200606970965
17,0.1547227787680567,0.07545245555641963
18,0.15762492288569593,0.07960300319928452
19,0.15936354314834944,0.0837241814487601
20,0.16064881735765407,0.08781652605352812
