t,Y_t,Y_ttc
0,0.0,0.0
1,0.00369879795716037,0.004699999999999999
2,0.008856028053765735,0.009368999999999999
3,0.018645956294617648,0.0140060135
4,0.06013879897137797,0.018610317315
5,0.129416767142245,0.0231814129894175
6,0.13416974674903628,0.027718993199936925
7,0.14547346611089088,0.03222291252928331
8,0.1474520777689391,0.0366931620685649
9,0.1532777531445753,0.04112984737189869
10,0.1541283823174888,0.045533169345113825
11,0.15497415498960795,0.04990340770138311
12,0.1578770449515288,0.05424090666150991
13,0.16511177635190025,0.05854606261604077
14,0.17156462426007701,0.06281931350103935
15,0.17479181704575716,0.06706112966982022
16,0.18787433376952528,0.07127200606970965
17,0.19180914066475463,0.07545245555641963
18,0.19193502284808428,0.07960300319928452
19,0.19505196997545624,0.0837241814487601
20,0.19681780990192746,0.08781652605352812
