t,Y_t,Y_ttc
0,0.0,0.0
1,0.0006633485717634881,0.004699999999999999
2,0.0011029184233709798,0.009368999999999999
3,0.0017285771855655265,0.0140060135
4,0.003144214177872343,0.018610317315
5,0.004981344572086152,0.0231814129894175
6,0.006978429304276169,0.027718993199936925
7,0.010533645097272476,0.03222291252928331
8,0.014897425591572306,0.0366931620685649
9,0.019671992320652625,0.04112984737189869
10,0.02470907948691276,0.045533169345113825
11,0.029953515790143062,0.04990340770138311
12,0.03538018495188257,0.05424090666150991
13,0.04097343975858058,0.05854606261604077
14,0.046720759581130804,0.06281931350103935
15,0.05261083628976451,0.06706112966982022
16,0.05863300382884285,0.07127200606970965
17,0.06477707034828377,0.07545245555641963
18,0.07103326895731964,0.07960300319928452
19,0.07739224207265771,0.0837241814487601
20,0.08384503418307786,0.08781652605352812
