t,Y_t,Y_ttc
0,0.0,0.0
1,8.566859519670772e-05,0.004699999999999999
2,0.00010222373239756894,0.009368999999999999
3,0.0001242828949209065,0.0140060135
4,0.0002577938576865203,0.018610317315
5,0.0005752861584677538,0.0231814129894175
6,0.0010473070088179446,0.027718993199936925
7,0.002865040874278273,0.03222291252928331
8,0.006223132848941844,0.0366931620685649
9,0.010784476463439151,0.04112984737189869
10,0.01623022102922249,0.045533169345113825
11,0.0223687069183129,0.04990340770138311
12,0.02909333635141232,0.05424090666150991
13,0.036340057479239476,0.05854606261604077
14,0.0440639547299215,0.06281931350103935
15,0.05222831871124179,0.06706112966982022
16,0.060799936200042086,0.07127200606970965
17,0.0697472029498151,0.07545245555641963
18,0.07903945495003502,0.07960300319928452
19,0.08864680124521798,0.0837241814487601
20,0.0985401477639187,0.08781652605352812
