t,Y_t,Y_ttc
0,0.0,0.0
1,6.719993109374112e-05,0.004699999999999999
2,7.774484879605512e-05,0.009368999999999999
3,9.647035445860924e-05,0.0140060135
4,0.06607820206243499,0.018610317315
5,0.06808025399003212,0.0231814129894175
6,0.0695817634965885,0.027718993199936925
7,0.0771664403053077,0.03222291252928331
8,0.08044908546805618,0.0366931620685649
9,0.08642229965557803,0.04112984737189869
10,0.09271546051285277,0.045533169345113825
11,0.10473252585035477,0.04990340770138311
12,0.11325481554352713,0.05424090666150991
13,0.11860071799406424,0.05854606261604077
14,0.12278186168580797,0.06281931350103935
15,0.13310757400059908,0.06706112966982022
16,0.1419341972990318,0.07127200606970965
17,0.1525898529894874,0.07545245555641963
18,0.16351487925208727,0.07960300319928452
19,0.17339918108776123,0.0837241814487601
20,0.1802854052512311,0.08781652605352812
