t,Y_t,Y_ttc
0,0.0,0.0
1,0.004941706577759521,0.004699999999999999
2,0.009630388218477035,0.009368999999999999
3,0.013909266051958892,0.0140060135
4,0.017735799465736828,0.018610317315
5,0.023194225077999665,0.0231814129894175
6,0.028944941664966715,0.027718993199936925
7,0.03451061714582062,0.03222291252928331
8,0.03979564485610265,0.0366931620685649
9,0.04481292366501919,0.04112984737189869
10,0.04959775205191207,0.045533169345113825
11,0.05418501420929894,0.04990340770138311
12,0.05860427007922182,0.05424090666150991
13,0.0628795397792854,0.05854606261604077
14,0.06703014740713323,0.06281931350103935
15,0.07107165991954797,0.06706112966982022
16,0.07501669268452975,0.07127200606970965
17,0.0788755524955567,0.07545245555641963
18,0.08265673830750639,0.07960300319928452
19,0.08636732793099257,0.0837241814487601
20,0.0900132761107212,0.08781652605352812
