t,Y_t,Y_ttc
0,0.0,0.0
1,0.00514420938146167,0.004699999999999999
2,0.0098959846510627,0.009368999999999999
3,0.013984441121800341,0.0140060135
4,0.017351222809057317,0.018610317315
5,0.02320990298595997,0.0231814129894175
6,0.02999328825448482,0.027718993199936925
7,0.03667208959382408,0.03222291252928331
8,0.04289163505083671,0.0366931620685649
9,0.04860708107136252,0.04112984737189869
10,0.05387196381672748,0.045533169345113825
11,0.05875788940576804,0.04990340770138311
12,0.06332995230426136,0.05424090666150991
13,0.06764153270569491,0.05854606261604077
14,0.07173497115257513,0.06281931350103935
15,0.07564359753425896,0.06706112966982022
16,0.07939373691122656,0.07127200606970965
17,0.08300635487691199,0.07545245555641963
18,0.08649832522337401,0.07960300319928452
19,0.08988338475793425,0.0837241814487601
20,0.09317284808785806,0.08781652605352812
