t,Y_t,Y_ttc
0,0.0,0.0
1,0.003909033059277455,0.004699999999999999
2,0.012216623607850544,0.009368999999999999
3,0.015265370458584584,0.0140060135
4,0.017659390805619242,0.018610317315
5,0.026446017859457743,0.0231814129894175
6,0.0335677793302422,0.027718993199936925
7,0.03879166668743368,0.03222291252928331
8,0.04545957068649242,0.0366931620685649
9,0.05118151634955957,0.04112984737189869
10,0.05600511939045479,0.045533169345113825
11,0.06793499321192649,0.04990340770138311
12,0.0760564595993055,0.05424090666150991
13,0.0783626150590807,0.05854606261604077
14,0.08365148614239314,0.06281931350103935
15,0.08918309573861273,0.06706112966982022
16,0.09173126605284936,0.07127200606970965
17,0.0944039201146271,0.07545245555641963
18,0.09619682744301444,0.07960300319928452
19,0.09887952858351946,0.0837241814487601
20,0.10293077565278062,0.08781652605352812
