t,from,to,P
1,A,A,0.9727371269658152
1,A,B,0.02390823167586063
1,A,C,0.002220435923639902
1,A,D,0.0011342054346841226
1,B,A,0.027542182584217097
1,B,B,0.9350236751148113
1,B,C,0.03198767501643417
1,B,D,0.005446467284537434
1,C,A,0.009021980854827182
1,C,B,0.05649631227344387
1,C,C,0.9186294583568545
1,C,D,0.0158522485148744
1,D,A,0.0
1,D,B,0.0
1,D,C,0.0
1,D,D,1.0
2,A,A,0.9543848845862242
2,A,B,0.03909523824222278
2,A,C,0.004125501415656039
2,A,D,0.0023943757558968575
2,B,A,0.016401532323298502
2,B,B,0.9280193394726933
2,B,C,0.04656969091389759
2,B,D,0.009009437290110583
2,C,A,0.004844406920705065
2,C,B,0.03916363456392096
2,C,C,0.9340917106126736
2,C,D,0.021900247902700395
2,D,A,0.0
2,D,B,0.0
2,D,C,0.0
2,D,D,1.0
3,A,A,0.93108844673778
3,A,B,0.05778927247200758
3,A,C,0.006765721205601664
3,A,D,0.004356559584610705
3,B,A,0.010653562644269426
3,B,B,0.9133210014148172
3,B,C,0.06259098066952568
3,B,D,0.013434455271387744
3,C,A,0.002899963876225613
3,C,B,0.0288577821471486
3,C,C,0.9399645227874832
3,C,D,0.028277731189142532
3,D,A,0.0
3,D,B,0.0
3,D,C,0.0
3,D,D,1.0
4,A,A,0.924115718412773
4,A,B,0.06328052551081237
4,A,C,0.007592919676224185
4,A,D,0.005010836400190435
4,B,A,0.009606477382597225
4,B,B,0.9086155717401257
4,B,C,0.06703229061612624
4,B,D,0.014745660261150898
4,C,A,0.0025663957616491057
4,C,B,0.026824875012756398
4,C,C,0.940593107078991
4,C,D,0.03001562214660344
4,D,A,0.0
4,D,B,0.0
4,D,C,0.0
4,D,D,1.0
5,A,A,0.9422836560607596
5,A,B,0.0488766724213653
5,A,C,0.00547122307922147
5,A,D,0.0033684484386535957
5,B,A,0.012850416114035293
5,B,B,0.9206815805977409
5,B,C,0.05515000156767622
5,B,D,0.011318001720547434
5,C,A,0.0036219726923661503
5,C,B,0.03294938977218491
5,C,C,0.938088150381989
5,C,D,0.025340487153459965
5,D,A,0.0
5,D,B,0.0
5,D,C,0.0
5,D,D,1.0
6,A,A,0.9671551057256514
6,A,B,0.028578993491305327
6,A,C,0.0027793128045697814
6,A,D,0.0014865879784736252
6,B,A,0.022881031437946193
6,B,B,0.9338963747364869
6,B,C,0.03668241205856991
6,B,D,0.006540181766997029
6,C,A,0.007219086972408564
6,C,B,0.049567828355621034
6,C,C,0.9253782497506381
6,C,D,0.01783483492133233
6,D,A,0.0
6,D,B,0.0
6,D,C,0.0
6,D,D,1.0
7,A,A,0.983157284917801
7,A,B,0.015039264168796347
7,A,C,0.0012405957328882223
7,A,D,0.0005628551805144626
7,B,A,0.04402969706351279
7,B,B,0.9302969021374556
7,B,C,0.0223007957220292
7,B,D,0.0033726050770023744
7,C,A,0.01588377938249392
7,C,B,0.07846895288785508
7,C,C,0.8940397776916591
7,C,D,0.011607490037991918
7,D,A,0.0
7,D,B,0.0
7,D,C,0.0
7,D,D,1.0
8,A,A,0.9902768697294934
8,A,B,0.008833858831692118
8,A,C,0.0006367980256851073
8,A,D,0.00025247341312938586
8,B,A,0.07382944803490667
8,B,B,0.9096948418614982
8,B,C,0.014552486058450356
8,B,D,0.001923224045144675
8,C,A,0.029650610832137776
8,C,B,0.11185947387478995
8,C,C,0.8505002230758208
8,C,D,0.007989692217251423
8,D,A,0.0
8,D,B,0.0
8,D,C,0.0
8,D,D,1.0
9,A,A,0.9924947850404146
9,A,B,0.006867734109857614
9,A,C,0.0004646089601921869
9,A,D,0.0001728718895356845
9,B,A,0.09345932405613008
9,B,B,0.8932646877643479
9,B,C,0.011811095753594677
9,B,D,0.0014648924259275387
9,C,A,0.03941311446440604
9,C,B,0.13095605753609968
9,C,C,0.822992384155751
9,C,D,0.006638443843743118
9,D,A,0.0
9,D,B,0.0
9,D,C,0.0
9,D,D,1.0
10,A,A,0.9917287951075393
10,A,B,0.007548900417798702
10,A,C,0.00052300903116036
10,A,D,0.00019929544350153852
10,B,A,0.08560052636988161
10,B,B,0.8999937621228469
10,B,C,0.012782143066699574
10,B,D,0.0016235684405718164
10,C,A,0.035448619591832875
10,C,B,0.12353412183405042
10,C,C,0.8338948792974942
10,C,D,0.007122379276622416
10,D,A,0.0
10,D,B,0.0
10,D,C,0.0
10,D,D,1.0
11,A,A,0.9876815417679461
11,A,B,0.011112820112299674
11,A,C,0.0008489437581900394
11,A,D,0.0003566943615641567
11,B,A,0.059247477838823115
11,B,B,0.920766489137901
11,B,C,0.01753077476734091
11,B,D,0.002455258255934982
11,C,A,0.022731730389793824
11,C,B,0.09631155340626434
11,C,C,0.8715457562257448
11,C,D,0.009410959978197044
11,D,A,0.0
11,D,B,0.0
11,D,C,0.0
11,D,D,1.0
12,A,A,0.9786659910890314
12,A,B,0.01888858774248039
12,A,C,0.0016513667437762847
12,A,D,0.000794054424711957
12,B,A,0.03503693160202953
12,B,B,0.9340354241308199
12,B,C,0.026655276134111557
12,B,D,0.004272368133038955
12,C,A,0.012056962839345433
12,C,B,0.06690562558005576
12,C,C,0.9074917258754382
12,C,D,0.013545685705160664
12,D,A,0.0
12,D,B,0.0
12,D,C,0.0
12,D,D,1.0
13,A,A,0.9644497554946028
13,A,B,0.030825467473703978
13,A,C,0.0030571727936892657
13,A,D,0.0016676042380040928
13,B,A,0.021132405717159967
13,B,B,0.932934804155771
13,B,C,0.03886600823233547
13,B,D,0.00706678189473341
13,C,A,0.006561975596636405
13,C,B,0.04685887533622652
13,C,C,0.9278348990583642
13,C,D,0.0187442500087729
13,D,A,0.0
13,D,B,0.0
13,D,C,0.0
13,D,D,1.0
14,A,A,0.9513733275990685
14,A,B,0.04154496535542599
14,A,C,0.00445464456098529
14,A,D,0.0026270624845203443
14,B,A,0.015357037201236599
14,B,B,0.9262903869815536
14,B,C,0.04876618975351297
14,B,D,0.009586386063696647
14,C,A,0.004478350818523841
14,C,B,0.0373804086052836
14,C,C,0.935353792341207
14,C,D,0.022787448234985606
14,D,A,0.0
14,D,B,0.0
14,D,C,0.0
14,D,D,1.0
15,A,A,0.9493894527514636
15,A,B,0.04315295775318697
15,A,C,0.004673636248923388
15,A,D,0.0027839532464262267
15,B,A,0.014735157399945136
15,B,B,0.9251097025179441
15,B,C,0.05018962548350122
15,B,D,0.009965514598609504
15,C,A,0.004262894429133892
15,C,B,0.036301943625761585
15,C,C,0.9360753241831007
15,C,D,0.023359837762003798
15,D,A,0.0
15,D,B,0.0
15,D,C,0.0
15,D,D,1.0
16,A,A,0.9591642716308597
16,A,B,0.03518476388014057
16,A,C,0.0036117929951933166
16,A,D,0.002039171493806672
16,B,A,0.018365774629632375
16,B,B,0.9305574479521259
16,B,C,0.042986839934711814
16,B,D,0.008089937483529824
16,C,A,0.005546202745319555
16,C,B,0.04242958491881526
16,C,C,0.9315824832465476
16,C,D,0.02044172908931751
16,D,A,0.0
16,D,B,0.0
16,D,C,0.0
16,D,D,1.0
17,A,A,0.9718692968049913
17,A,B,0.02463770769285164
17,A,C,0.00230595700728233
17,A,D,0.0011870384948748712
17,B,A,0.02670064952648775
17,B,B,0.9349460550509648
17,B,C,0.03273610278419131
17,B,D,0.005617192638356047
17,C,A,0.00869129107082091
17,C,B,0.0552742337225244
17,C,C,0.9198634281753186
17,C,D,0.016171047031336
17,D,A,0.0
17,D,B,0.0
17,D,C,0.0
17,D,D,1.0
18,A,A,0.9809894451639268
18,A,B,0.01690274352488269
18,A,C,0.0014364258662925538
18,A,D,0.0006713854448979154
18,B,A,0.039184465584197255
18,B,B,0.9325649444927961
18,B,C,0.024442455400076103
18,B,D,0.0038081345229306106
18,C,A,0.013798979234110574
18,C,B,0.07234951304882344
18,C,C,0.9012837846109233
18,C,D,0.012567723106142665
18,D,A,0.0
18,D,B,0.0
18,D,C,0.0
18,D,D,1.0
19,A,A,0.9856650367560645
19,A,B,0.01286956301839611
19,A,C,0.0010204111880760347
19,A,D,0.0004449890374632789
19,B,A,0.05134966220633859
19,B,B,0.9260710997769477
19,B,C,0.01971361465701481
19,B,D,0.0028656233596991063
19,C,A,0.019124832879385833
19,C,B,0.08728851220878557
19,C,C,0.8831596586374486
19,C,D,0.010426996274379806
19,D,A,0.0
19,D,B,0.0
19,D,C,0.0
19,D,D,1.0
20,A,A,0.9870296195136509
20,A,B,0.011682016509035817
20,A,C,0.0009037899791603141
20,A,D,0.00038457399815291864
20,B,A,0.05644305602368183
20,B,B,0.9227210773047144
20,B,C,0.018247663294064586
20,B,D,0.0025882033775392922
20,C,A,0.021438731965160836
20,C,B,0.09316121147618153
20,C,C,0.8756532117999397
20,C,D,0.009746844758717956
20,D,A,0.0
20,D,B,0.0
20,D,C,0.0
20,D,D,1.0
