t,from,to,P
1,A,A,0.9707825598121615
1,A,B,0.025549420122945265
1,A,C,0.0024137851816019157
1,A,D,0.00125423488329141
1,B,A,0.025714810890437957
1,B,B,0.9347913993462368
1,B,C,0.03366317808144429
1,B,D,0.005830611681881013
1,C,A,0.008306718852741321
1,C,B,0.05382713572707903
1,C,C,0.921301709460913
1,C,D,0.016564435959266585
1,D,A,0.0
1,D,B,0.0
1,D,C,0.0
1,D,D,1.0
2,A,A,0.9301200082949707
2,A,B,0.05855459425939735
2,A,C,0.006879696376656777
2,A,D,0.004445701068975238
2,B,A,0.010495909772106406
2,B,B,0.912671247435556
2,B,C,0.06321599175928967
2,B,D,0.013616851033047887
2,C,A,0.00284928111500551
2,C,B,0.028555417353473677
2,C,C,0.9400723924139391
2,C,D,0.028522909117581617
2,D,A,0.0
2,D,B,0.0
2,D,C,0.0
2,D,D,1.0
3,A,A,0.8560093803994425
3,A,B,0.11492933060438595
3,A,C,0.01631818168098249
3,A,D,0.012743107315189111
3,B,A,0.004650749874809186
3,B,B,0.8624772086117065
3,B,C,0.10542849026835656
3,B,D,0.02744355124512765
3,C,A,0.0011030087249599544
3,C,B,0.01614348677639304
3,C,C,0.937924546930272
3,C,D,0.04482895756837493
3,D,A,0.0
3,D,B,0.0
3,D,C,0.0
3,D,D,1.0
4,A,A,0.8173990163324997
4,A,B,0.14286169294799703
4,A,C,0.021666512476894405
4,A,D,0.01807277824260876
4,B,A,0.003467740864971395
4,B,B,0.8371448482587468
4,B,C,0.12471191991297026
4,B,D,0.03467549096331169
4,C,A,0.0007897264341901029
4,C,B,0.013187416835305029
4,C,C,0.9337428512159933
4,C,D,0.052280005514511646
4,D,A,0.0
4,D,B,0.0
4,D,C,0.0
4,D,D,1.0
5,A,A,0.8718774287031095
5,A,B,0.10318520061393659
5,A,C,0.014195827257008336
5,A,D,0.010741543425945663
5,B,A,0.005340973529790307
5,B,B,0.8730813167328033
5,B,C,0.09708950197534981
5,B,D,0.024488207762056565
5,C,A,0.0012933292764854643
5,C,B,0.017771836761745523
5,C,C,0.9393124830145039
5,C,D,0.04162235094726511
5,D,A,0.0
5,D,B,0.0
5,D,C,0.0
5,D,D,1.0
6,A,A,0.9484723542323531
6,A,B,0.043894784315853655
6,A,C,0.004775433246132974
6,A,D,0.0028574282056603247
6,B,A,0.014463450479927137
6,B,B,0.9245543508376123
6,B,C,0.0508416601959508
6,B,D,0.010140538486509665
6,C,A,0.004169361262607879
6,C,B,0.03582662238192094
