t,from,to,P
1,A,A,0.9895317003154899
1,A,B,0.009490425980829132
1,A,C,0.0006966305298909634
1,A,D,0.00028124317379015233
1,B,A,0.0689598551055955
1,B,B,0.9135338114398773
1,B,C,0.015429885983870016
1,B,D,0.002076447470657086
1,C,A,0.027305499874105122
1,C,B,0.10681207366121509
1,C,C,0.8574694134628218
1,C,D,0.008413013001858042
1,D,A,0.0
1,D,B,0.0
1,D,C,0.0
1,D,D,1.0
2,A,A,0.980681630656927
2,A,B,0.017166488658418057
2,A,C,0.0014646121313938141
2,A,D,0.0006872685532610162
2,B,A,0.038580446256993396
2,B,B,0.9328095167509023
2,B,C,0.024740252971562557
2,B,D,0.0038697840205415743
2,C,A,0.013542746328844843
2,C,B,0.07156911991489516
2,C,C,0.9021879960928821
2,C,D,0.012700137663377752
2,D,A,0.0
2,D,B,0.0
2,D,C,0.0
2,D,D,1.0
3,A,A,0.7043951758333654
3,A,B,0.21988020383992554
3,A,C,0.0385506201650286
3,A,D,0.03717400016168036
3,B,A,0.0017752660115221662
3,B,B,0.7654300132096583
3,B,C,0.17616876133268808
3,B,D,0.05662595944613141
3,C,A,0.000376203753782572
3,C,B,0.00839557066566913
3,C,C,0.9184041441381121
3,C,D,0.07282408144243614
3,D,A,0.0
3,D,B,0.0
3,D,C,0.0
3,D,D,1.0
4,A,A,0.9734083516581287
4,A,B,0.02334313719183436
4,A,C,0.002154656578272639
4,A,D,0.0010938545717645261
4,B,A,0.028229273530738515
4,B,B,0.9350528263949442
4,B,C,0.03140366660809273
4,B,D,0.00531423346622443
4,C,A,0.009293586780063435
4,C,B,0.05748541269827639
4,C,C,0.9176182960468098
4,C,D,0.015602704474850404
4,D,A,0.0
4,D,B,0.0
4,D,C,0.0
4,D,D,1.0
5,A,A,0.954942749249507
5,A,B,0.03864025755599023
5,A,C,0.004064980628737878
5,A,D,0.0023520125657648205
5,B,A,0.016609913266652353
5,B,B,0.9283298873899919
5,B,C,0.0461578355422871
5,B,D,0.008902363801068748
5,C,A,0.004918044768530015
5,C,B,0.039515368298765285
5,C,C,0.9338332572130402
5,C,D,0.02173332971966445
