t,from,to,P
1,A,A,0.9972089793887516
1,A,B,0.0026119688430972614
1,A,C,0.00013860096167962762
1,A,D,4.0450806471550464e-05
1,B,A,0.21536821388308625
1,B,B,0.7791762547668772
1,B,C,0.004971851662735284
1,B,D,0.00048367968730124233
1,C,A,0.10785231780963114
1,C,B,0.22047665253422308
1,C,C,0.6686598707632738
1,C,D,0.003011158892871957
1,D,A,0.0
1,D,B,0.0
1,D,C,0.0
1,D,D,1.0
2,A,A,0.9975286029546586
2,A,B,0.002318193049984436
2,A,C,0.00011938739016847507
2,A,D,3.381660518840077e-05
2,B,A,0.2363826112702183
2,B,B,0.7587733325159276
2,B,C,0.004426152116357035
2,B,D,0.0004179040974970391
2,C,A,0.12067760597313397
2,C,B,0.2323705173009206
2,C,C,0.6442515931659646
2,C,D,0.002700283559980664
2,D,A,0.0
2,D,B,0.0
2,D,C,0.0
2,D,D,1.0
3,A,A,0.9952843492793523
3,A,B,0.004364727843135639
3,A,C,0.00026345865243314635
3,A,D,8.746422507895369e-05
3,B,A,0.1404389805888958
3,B,B,0.8506873084264305
3,B,C,0.0079895725384861
3,B,D,0.0008841384461876166
3,C,A,0.06441159338939484
3,C,B,0.17037711403263506
3,C,C,0.7605452320256593
3,C,D,0.004666060552310755
3,D,A,0.0
3,D,B,0.0
3,D,C,0.0
3,D,D,1.0
4,A,A,0.9874193833682278
4,A,B,0.011341860366308638
4,A,C,0.0008709290098978105
4,A,D,0.00036782725556570015
4,B,A,0.05808712080648095
4,B,B,0.9215837096719052
4,B,C,0.017820417325784092
4,B,D,0.0025087521958296463
4,C,A,0.02219516002997031
4,C,B,0.09501492337968012
4,C,C,0.8732429804423932
4,C,D,0.009546936147956198
4,D,A,0.0
4,D,B,0.0
4,D,C,0.0
4,D,D,1.0
5,A,A,0.9832252940977145
5,A,B,0.014980627513645485
5,A,C,0.001234531128172365
5,A,D,0.0005595472604676026
5,B,A,0.04420086780831852
5,B,B,0.9302079570830533
5,B,C,0.022232273041668346
5,B,D,0.0033589020669598396
5,C,A,0.01595835127339583
5,C,B,0.07868079145273853
5,C,C,0.8937843315594434
5,C,D,0.011576525714422276
5,D,A,0.0
5,D,B,0.0
5,D,C,0.0
5,D,D,1.0
6,A,A,0.9817484417677741
6,A,B,0.016251521330189273
6,A,C,0.0013673203299951258
6,A,D,0.0006327165720416361
6,B,A,0.040756478792954895
6,B,B,0.9318859160807136
6,B,C,0.023701683491112326
6,B,D,0.003655921635219132
6,C,A,0.014469739829862525
6,C,B,0.0743617909773828
6,C,C,0.8989312681813363
6,C,D,0.01223720101141855
6,D,A,0.0
6,D,B,0.0
