t,from,to,P
1,A,A,0.9995133145572935
1,A,B,0.0004674997604563446
1,A,C,1.612621306223884e-05
1,A,D,3.0594691879880337e-06
1,B,A,0.6070714734957777
1,B,B,0.3921975945165004
1,B,C,0.0006874571406559826
1,B,D,4.347484706590989e-05
1,C,A,0.38689456306671477
1,C,B,0.334219087402822
1,C,C,0.2784403368955581
1,C,D,0.0004460126349049943
1,D,A,0.0
1,D,B,0.0
1,D,C,0.0
1,D,D,1.0
2,A,A,0.9996769617627411
2,A,B,0.00031165929362913906
2,A,C,9.71377366860335e-06
2,A,D,1.6651699611571087e-06
2,B,A,0.6987108855023332
2,B,B,0.30087783733926105
2,B,C,0.00038904657165643344
2,B,D,2.223058674945752e-05
2,C,A,0.4674547556649358
2,C,B,0.32967954297637286
2,C,C,0.20261126735138865
2,C,D,0.0002544340073027869
2,D,A,0.0
2,D,B,0.0
2,D,C,0.0
2,D,D,1.0
3,A,A,0.999144032129929
3,A,B,0.0008165224225294151
3,A,C,3.238216774263579e-05
3,A,D,7.063279798919846e-06
3,B,A,0.4690402292603369
3,B,B,0.5294468895346505
3,B,C,0.0014103389777556517
3,B,D,0.00010254222725691554
3,C,A,0.27849106128443174
3,C,B,0.3179973394066296
3,C,C,0.4026102188687834
3,C,D,0.0009013804401552906
3,D,A,0.0
3,D,B,0.0
3,D,C,0.0
3,D,D,1.0
4,A,A,0.9954289112607405
4,A,B,0.004233916133177659
4,A,C,0.000253616818303486
4,A,D,8.355578777834625e-05
4,B,A,0.14420026860174334
4,B,B,0.8471695964322793
4,B,C,0.007776164815994129
4,B,D,0.0008539701499831716
4,C,A,0.06649685357473492
4,C,B,0.173224499252981
4,C,C,0.7557264282834207
4,C,D,0.004552218888863366
4,D,A,0.0
4,D,B,0.0
4,D,C,0.0
4,D,D,1.0
5,A,A,0.990936397066292
5,A,B,0.008251136861766834
5,A,C,0.0005846333584250245
5,A,D,0.00022783271351600563
5,B,A,0.07874922119962298
5,B,B,0.9057045906253921
5,B,C,0.013758898659076955
5,B,D,0.001787289515907911
5,C,A,0.032052454706340446
5,C,B,0.11682546497381098
5,C,C,0.8435189059059389
5,C,D,0.007603174413909528
5,D,A,0.0
5,D,B,0.0
5,D,C,0.0
5,D,D,1.0
6,A,A,0.9880116990633836
6,A,B,0.01082408167286293
6,A,C,0.0008213931986967616
6,A,D,0.00034282606505662563
6,B,A,0.06077599890784037
6,B,B,0.9196728592508923
6,B,C,0.017163315867996225
6,B,D,0.002387825973271108
6,C,A,0.023441880291906827
6,C,B,0.0980052065715611
6,C,C,0.869314999807932
6,C,D,0.009237913328600123
6,D,A,0.0
6,D,B,0.0
6,D,C,0.0
6,D,D,1.0
7,A,A,0.967390773366427
7,A,B,0.028382786625086465
7,A,C,0.002755314030417058
7,A,D,0.001471125978069632
7,B,A,0.023046626301501727
7,B,B,0.9339696037290055
7,B,C,0.03648956245370804
7,B,D,0.0064942075157846625
7,C,A,0.0072818873351679836
7,C,B,0.049821031937184505
7,C,C,0.9251429254911342
7,C,D,0.01775415523651336
7,D,A,0.0
7,D,B,0.0
7,D,C,0.0
7,D,D,1.0
8,A,A,0.9511347939121159
8,A,B,0.041738543422310696
8,A,C,0.004480885976318346
8,A,D,0.0026457766892551914
8,B,A,0.015279665025043422
8,B,B,0.9261500284449908
8,B,C,0.04893829724025444
8,B,D,0.009632009289711354
8,C,A,0.004451441388351978
8,C,B,0.03724693038861857
8,C,C,0.935444868910788
8,C,D,0.02285675931224146
8,D,A,0.0
8,D,B,0.0
8,D,C,0.0
8,D,D,1.0
9,A,A,0.9424376684312568
9,A,B,0.048753187468471126
9,A,C,0.005453727173586906
9,A,D,0.0033554169266851266
9,B,A,0.012886449773786146
9,B,B,0.9207801647648658
9,B,C,0.05504461448117061
9,B,D,0.011288770980177323
9,C,A,0.0036340483087689093
9,C,B,0.033014756880228445
9,C,C,0.9380525804074624
9,C,D,0.025298614403540226
9,D,A,0.0
9,D,B,0.0
9,D,C,0.0
9,D,D,1.0
10,A,A,0.9384723638074834
10,A,B,0.05192476270974937
10,A,C,0.005906981044733729
10,A,D,0.0036958924380333666
10,B,A,0.012014861458767867
10,B,B,0.9182143822209299
10,B,C,0.05773045233560081
10,B,D,0.01204030398470159
10,C,A,0.0033440102613591276
10,C,B,0.0314185642886959
10,C,C,0.9388741996013394
10,C,D,0.02636322584860557
10,D,A,0.0
10,D,B,0.0
10,D,C,0.0
10,D,D,1.0
11,A,A,0.9367780319329899
11,A,B,0.05327511850869644
11,A,C,0.006102378689117361
11,A,D,0.003844470869196325
11,B,A,0.011675030794499962
11,B,B,0.9171028700287202
11,B,C,0.05886131260664743
11,B,D,0.012360786570132528
11,C,A,0.0032321112289886112
11,C,B,0.030787354986818727
11,C,C,0.9391705574170895
11,C,D,0.026809976367103142
11,D,A,0.0
11,D,B,0.0
11,D,C,0.0
11,D,D,1.0
12,A,A,0.9360728979052638
12,A,B,0.05383626626821271
12,A,C,0.006183993811130378
12,A,D,0.003906842015393096
12,B,A,0.011538791343357547
12,B,B,0.9166380314019117
12,B,C,0.059329120866705776
12,B,D,0.012494056388024987
12,C,A,0.003187442642609709
12,C,B,0.030532841753934566
12,C,C,0.9392851744321672
12,C,D,0.026994541171288435
12,D,A,0.0
12,D,B,0.0
12,D,C,0.0
12,D,D,1.0
13,A,A,0.9357825759808509
13,A,B,0.05406716429626488
13,A,C,0.006217646836768062
13,A,D,0.003932612886116058
13,B,A,0.011483547914536962
13,B,B,0.9164462864398664
13,B,C,0.059521256298645894
13,B,D,0.012548909346950696
13,C,A,0.0031693617768166964
13,C,B,0.030429397448493472
13,C,C,0.9393309366692344
13,C,D,0.027070304105455485
13,D,A,0.0
13,D,B,0.0
13,D,C,0.0
13,D,D,1.0
14,A,A,0.9356635658379858
14,A,B,0.05416179142765798
14,A,C,0.00623145042681507
14,A,D,0.003943192307541266
14,B,A,0.01146104308901124
14,B,B,0.916367626722486
14,B,C,0.05959993820340448
14,B,D,0.012571391985098209
14,C,A,0.0031620013405164425
14,C,B,0.03038721638352269
14,C,C,0.939349459007439
14,C,D,0.027101323268521813
14,D,A,0.0
14,D,B,0.0
14,D,C,0.0
14,D,D,1.0
15,A,A,0.9356148679184773
15,A,B,0.05420050806507012
15,A,C,0.006237100138718259
15,A,D,0.0039475238777343285
15,B,A,0.011451857753767282
15,B,B,0.9163354301247147
15,B,C,0.05963212092762612
15,B,D,0.01258059119389203
15,C,A,0.003158998059427502
15,C,B,0.030369993461542375
15,C,C,0.9393569987740924
15,C,D,0.0271140097049377
15,D,A,0.0
15,D,B,0.0
15,D,C,0.0
15,D,D,1.0
16,A,A,0.9355949557264266
16,A,B,0.054216338327373256
16,A,C,0.00623941049539793
16,A,D,0.003949295450802236
16,B,A,0.011448105853794088
16,B,B,0.9163222635736404
16,B,C,0.059645277977497524
16,B,D,0.012584352595067969
16,C,A,0.0031577714668023604
16,C,B,0.030362957353262176
16,C,C,0.9393600751503353
16,C,D,0.027119196029600213
16,D,A,0.0
16,D,B,0.0
16,D,C,0.0
16,D,D,1.0
17,A,A,0.9355868162235106
17,A,B,0.05422280914989458
17,A,C,0.006240354938616821
17,A,D,0.003950019687977985
17,B,A,0.011446572843166178
17,B,B,0.9163168812151876
17,B,C,0.05965065581306217
17,B,D,0.01258589012858402
17,C,A,0.0031572703106513573
17,C,B,0.030360082241003603
17,C,C,0.9393613315825707
17,C,D,0.027121315865774265
17,D,A,0.0
17,D,B,0.0
17,D,C,0.0
17,D,D,1.0
18,A,A,0.9355834894469996
18,A,B,0.05422545388508257
18,A,C,0.006240740957861151
18,A,D,0.003950315710056601
18,B,A,0.01144594638028277
18,B,B,0.9163146812933285
18,B,C,0.05965285377960921
18,B,D,0.012586518546779609
18,C,A,0.0031570655178997835
18,C,B,0.030358907298585588
18,C,C,0.9393618449281145
18,C,D,0.027122182255400223
18,D,A,0.0
18,D,B,0.0
18,D,C,0.0
18,D,D,1.0
19,A,A,0.9355821297952616
19,A,B,0.05422653478381523
19,A,C,0.0062408987248076435
19,A,D,0.003950436696115758
19,B,A,0.01144569036345086
19,B,B,0.916313782178946
19,B,C,0.059653752077033814
19,B,D,0.01258677538056932
19,C,A,0.003156981825848084
19,C,B,0.0303584271291672
19,C,C,0.9393620547015499
19,C,D,0.027122536343434853
19,D,A,0.0
19,D,B,0.0
19,D,C,0.0
19,D,D,1.0
20,A,A,0.9355815741176812
20,A,B,0.05422697653700352
20,A,C,0.0062409632029388805
20,A,D,0.00395048614237643
20,B,A,0.01144558573468789
20,B,B,0.9163134147176332
20,B,C,0.05965411920148647
20,B,D,0.012586880346192396
20,C,A,0.0031569476227583902
20,C,B,0.030358230893021473
20,C,C,0.9393621404289765
20,C,D,0.027122681055243705
20,D,A,0.0
20,D,B,0.0
20,D,C,0.0
20,D,D,1.0
