t,from,to,P
1,A,A,0.9995909629837978
1,A,B,0.0003936651531671458
1,A,C,1.3007862416588046e-05
1,A,D,2.3640006184995716e-06
1,B,A,0.6473072682688584
1,B,B,0.35211735149923523
1,B,C,0.0005425153249582802
1,B,D,3.286490694815918e-05
1,C,A,0.42123319948281396
1,C,B,0.3339005516871339
1,C,C,0.2445129810431444
1,C,D,0.0003532677869076843
1,D,A,0.0
1,D,B,0.0
1,D,C,0.0
1,D,D,1.0
2,A,A,0.9997429523426724
2,A,B,0.0002485415183768433
2,A,C,7.320308681775961e-06
2,A,D,1.1858302689444117e-06
2,B,A,0.7441687946017348
2,B,B,0.25553732347482566
2,B,C,0.00027882607390374974
2,B,D,1.505584953583234e-05
2,C,A,0.5110472872940354
2,C,B,0.3218537718939888
2,C,C,0.16691595242523433
2,C,D,0.0001829883867415361
2,D,A,0.0
2,D,B,0.0
2,D,C,0.0
2,D,D,1.0
3,A,A,0.9991343702027876
3,A,B,0.0008256145772854738
3,A,C,3.283360085179683e-05
3,A,D,7.181619075111078e-06
3,B,A,0.46627493756427574
3,B,B,0.5321913568849811
3,B,C,0.001429483023771448
3,B,D,0.00010422252697171223
3,C,A,0.2764446916737769
3,C,B,0.3174148196672996
3,C,C,0.4052271959671816
3,C,D,0.0009132926917418194
3,D,A,0.0
3,D,B,0.0
3,D,C,0.0
3,D,D,1.0
4,A,A,0.5760311349766906
4,A,B,0.2991611523136636
4,A,C,0.0595693423895987
4,A,D,0.06523837032004712
4,B,A,0.0009537351235223502
4,B,B,0.6841625646589168
4,B,C,0.23067462947906198
4,B,D,0.08420907073849877
4,C,A,0.00019458620580518267
4,C,B,0.005601236206310514
4,C,C,0.8976036537961298
4,C,D,0.09660052379175459
4,D,A,0.0
4,D,B,0.0
4,D,C,0.0
4,D,D,1.0
5,A,A,0.9843877495575476
5,A,B,0.013976641272962725
5,A,C,0.0011316568895214777
5,A,D,0.0005039522799682452
5,B,A,0.047344074645154624
5,B,B,0.9284842514477814
5,B,C,0.021047382830550736
5,B,D,0.003124291076513386
5,C,A,0.017338322134297406
5,C,B,0.08252159138722148
5,C,C,0.889101520700552
5,C,D,0.01103856577792915
5,D,A,0.0
5,D,B,0.0
5,D,C,0.0
5,D,D,1.0
6,A,A,0.9883220676859115
6,A,B,0.010552349929733373
6,A,C,0.0007956364227564178
6,A,D,0.00032994596159866305
6,B,A,0.06228613331754824
6,B,B,0.9185744342728366
6,B,C,0.016815061805904225
6,B,D,0.002324370603710847
6,C,A,0.024147138109801864
6,C,B,0.09966283338443269
6,C,C,0.8671166864264253
6,C,D,0.009073342079340208
6,D,A,0.0
6,D,B,0.0
6,D,C,0.0
6,D,D,1.0
7,A,A,0.9362925682707738
7,A,B,0.05366150406119476
7,A,C,0.00615854977724833
7,A,D,0.003887377890782986
7,B,A,0.011580917945906188
7,B,B,0.9167829767815822
7,B,C,0.059183559870356374
7,B,D,0.012452545402155294
7,C,A,0.0032012427610379345
7,C,B,0.030611630303704077
7,C,C,0.9392499990451202
7,C,D,0.02693712789013784
7,D,A,0.0
7,D,B,0.0
7,D,C,0.0
7,D,D,1.0
8,A,A,0.9747627424540739
8,A,B,0.02220049963367999
8,A,C,0.002022933022928717
8,A,D,0.001013824889317343
8,B,A,0.029722451705970817
8,B,B,0.9350196728217302
8,B,C,0.030210973094068058
8,B,D,0.005046902378230979
8,C,A,0.009888673338450732
8,C,B,0.059609044751794266
8,C,C,0.9154114233035329
8,C,D,0.015090858606222099
8,D,A,0.0
8,D,B,0.0
8,D,C,0.0
8,D,D,1.0
9,A,A,0.9530493247454538
9,A,B,0.04018296479425567
9,A,C,0.004270969058567119
9,A,D,0.0024967414017232864
9,B,A,0.015922234779786753
9,B,B,0.9272629629493258
9,B,C,0.04754928135817237
9,B,D,0.009265520912715096
9,C,A,0.004675793195674882
9,C,B,0.038349597653761086
9,C,C,0.9346780759720827
9,C,D,0.022296533178481272
9,D,A,0.0
9,D,B,0.0
9,D,C,0.0
9,D,D,1.0
10,A,A,0.9522803046973133
10,A,B,0.04080831881187089
