t,from,to,P
1,A,A,0.9735110858536403
1,A,B,0.023256578067675695
1,A,C,0.0021446174748893953
1,A,D,0.0010877186037942987
1,B,A,0.02833738950397489
1,B,B,0.9350547550188717
1,B,C,0.031313875629481555
1,B,D,0.005293979847671842
1,C,A,0.00933645422627346
1,C,B,0.05764035492284519
1,C,C,0.917458915737659
1,C,D,0.015564275113222337
1,D,A,0.0
1,D,B,0.0
1,D,C,0.0
1,D,D,1.0
2,A,A,0.9749656798352953
2,A,B,0.022029009288676977
2,A,C,0.002003314682733376
2,A,D,0.0010019961932944855
2,B,A,0.029959539268565698
2,B,B,0.9350031181126375
2,B,C,0.03003055666254544
2,B,D,0.005006785956251365
2,C,A,0.009983757197354505
2,C,B,0.05994307905349698
2,C,C,0.9150599980069762
2,C,D,0.015013165742172315
2,D,A,0.0
2,D,B,0.0
2,D,C,0.0
2,D,D,1.0
3,A,A,0.9773002329474669
3,A,B,0.020050750783169435
3,A,C,0.0017799553032071262
3,A,D,0.0008690609661564512
3,B,A,0.032978482070695106
3,B,B,0.9345565591314964
3,B,C,0.02792085173655116
3,B,D,0.004544107061257401
3,C,A,0.011208185506751225
3,C,B,0.0641252168186397
3,C,C,0.9105674445602082
3,C,D,0.014099153114400801
3,D,A,0.0
3,D,B,0.0
3,D,C,0.0
3,D,D,1.0
4,A,A,0.9797717221467619
4,A,B,0.017944937414263794
4,A,C,0.0015484564960971273
4,A,D,0.00073488394287725
4,B,A,0.036897460039292604
4,B,B,0.9334387143238084
4,B,C,0.025612070561835024
4,B,D,0.004051755075063914
4,C,A,0.01283330182712031
4,C,B,0.06937278822685752
4,C,C,0.9047075824576116
4,C,D,0.013086327488410522
4,D,A,0.0
4,D,B,0.0
4,D,C,0.0
4,D,D,1.0
5,A,A,0.9688767821777272
5,A,B,0.02714364852726316
5,A,C,0.0026047793504324172
5,A,D,0.0013747899445770554
5,B,A,0.024146517355264716
5,B,B,0.9343863101288987
5,B,C,0.035263248505809634
5,B,D,0.006203924010026788
5,C,A,0.0077014358325066656
5,C,B,0.05148891690269815
5,C,C,0.9235699776949563
5,C,D,0.017239669569838873
5,D,A,0.0
5,D,B,0.0
5,D,C,0.0
5,D,D,1.0
6,A,A,0.9671187730980613
6,A,B,0.028609235051840758
6,A,C,0.0027830156753350915
6,A,D,0.0014889761747629725
6,B,A,0.022855705949066673
6,B,B,0.9338849213346113
6,B,C,0.03671210463255037
6,B,D,0.006547268083771638
6,C,A,0.007209491056065333
6,C,B,0.04952905494208128
6,C,C,0.9254142024211852
6,C,D,0.017847251580668192
6,D,A,0.0
6,D,B,0.0
6,D,C,0.0
6,D,D,1.0
7,A,A,0.9685403710120456
7,A,B,0.02742446938258723
7,A,C,0.002638737314126399
7,A,D,0.0013964222912408316
7,B,A,0.02388873425385838
7,B,B,0.9342991116058204
7,B,C,0.03554245400804785
7,B,D,0.00626970013227352
