t,from,to,P
1,A,A,0.9722573043446284
1,A,B,0.0243117154891377
1,A,C,0.0022676550988347467
1,A,D,0.0011633250673992181
1,B,A,0.027070636306578553
1,B,B,0.9349860803118281
1,B,C,0.03240238910321671
1,B,D,0.0055408942783766535
1,C,A,0.00883641170227577
1,C,B,0.05581299847679311
1,C,C,0.9193215538890555
1,C,D,0.016029035931875733
1,D,A,0.0
1,D,B,0.0
1,D,C,0.0
1,D,D,1.0
2,A,A,0.9746459826553918
2,A,B,0.022299132815409215
2,A,C,0.0020342346243115957
2,A,D,0.001020649904887214
2,B,A,0.02958769520221615
2,B,B,0.9350277590747087
2,B,C,0.030314569648157288
2,B,D,0.005069976074917963
2,C,A,0.009834701164982735
2,C,B,0.059418806538703815
2,C,C,0.9156110540849904
2,C,D,0.015135438211323014
2,D,A,0.0
2,D,B,0.0
2,D,C,0.0
2,D,D,1.0
3,A,A,0.9785448107064159
3,A,B,0.018991853500530877
3,A,C,0.0016627111474235815
3,A,D,0.0008006246456298485
3,B,A,0.034844171780779476
3,B,B,0.9340907480898091
3,B,C,0.026768568098262918
3,B,D,0.004296512031148457
3,C,A,0.01197702095607519
3,C,B,0.06664757375616875
3,C,C,0.9077800074805354
3,C,D,0.013595397807220532
3,D,A,0.0
3,D,B,0.0
3,D,C,0.0
3,D,D,1.0
4,A,A,0.9825648628106075
4,A,B,0.015549581176394814
4,A,C,0.001293632331016984
4,A,D,0.0005919236819806354
4,B,A,0.04259220219974405
4,B,B,0.9310218062595869
4,B,C,0.022894124908803055
4,B,D,0.0034918666318658875
4,C,A,0.015259948251677936
4,C,B,0.07667857122722233
4,C,C,0.896186518960072
4,C,D,0.011874961561027745
4,D,A,0.0
4,D,B,0.0
4,D,C,0.0
4,D,D,1.0
5,A,A,0.9659612394348729
5,A,B,0.029571680711876044
5,A,C,0.0029014018530289175
5,A,D,0.0015656780002221494
5,B,A,0.022076228363225082
5,B,B,0.9334981836747459
5,B,C,0.03765275891120346
5,B,D,0.006772829050825523
5,C,A,0.006915265890339965
5,C,B,0.04832916094252884
5,C,C,0.9265156967147673
5,C,D,0.018239876452363912
5,D,A,0.0
5,D,B,0.0
5,D,C,0.0
5,D,D,1.0
6,A,A,0.9601929557388661
6,A,B,0.03433928880699485
6,A,C,0.003502694739412212
6,A,D,0.001965060714726788
6,B,A,0.01884835012615777
6,B,B,0.93106159390573
6,B,C,0.04219870204651394
6,B,D,0.007891353921598166
6,C,A,0.00572116085025606
6,C,B,0.043215820835168124
6,C,C,0.9309441920091646
6,C,D,0.020118826305411203
6,D,A,0.0
6,D,B,0.0
6,D,C,0.0
6,D,D,1.0
7,A,A,0.9615022313667375
7,A,B,0.03326116815034199
7,A,C,0.003364628325109447
7,A,D,0.0018719721578109457
7,B,A,0.019498707019077473
7,B,B,0.93167685374097
7,B,C,0.04118620740574495
7,B,D,0.007638231834207482
7,C,A,0.00595846495783483
7,C,B,0.04426599270116873
7,C,C,0.9300727150406871
7,C,D,0.019702827300309415
7,D,A,0.0
7,D,B,0.0
7,D,C,0.0
7,D,D,1.0
8,A,A,0.9649731169014705
8,A,B,0.030391708997102657
8,A,C,0.0030030868869836027
8,A,D,0.001632087214443238
8,B,A,0.021450288719215196
8,B,B,0.9331368511337617
8,B,C,0.038447788683788786
8,B,D,0.006965071463234214
8,C,A,0.006680595650968173
8,C,B,0.047356255836621786
8,C,C,0.9273925092360775
8,C,D,0.0185706392763325
8,D,A,0.0
8,D,B,0.0
8,D,C,0.0
8,D,D,1.0
9,A,A,0.9684559214770101
9,A,B,0.02749493647685579
9,A,C,0.0026472730268730653
9,A,D,0.0014018690192609967
9,B,A,0.023824856407991882
9,B,B,0.9342765418821712
9,B,C,0.035612395336132245
9,B,D,0.006286206373704778
9,C,A,0.00757830827285114
9,C,B,0.05100361001190852
9,C,C,0.9240316723703638
9,C,D,0.01738640934487667
9,D,A,0.0
9,D,B,0.0
9,D,C,0.0
9,D,D,1.0
10,A,A,0.9713493841063353
10,A,B,0.025074128788565703
10,A,C,0.0023574432480065804
10,A,D,0.0012190438570924107
10,B,A,0.026220020130625177
10,B,B,0.9348796252517249
10,B,C,0.03318100814784409
10,B,D,0.005719346469805898
10,C,A,0.008503413476566869
10,C,B,0.05457084848866877
10,C,C,0.9205656986704704
10,C,D,0.016360039364293925
10,D,A,0.0
10,D,B,0.0
10,D,C,0.0
10,D,D,1.0
11,A,A,0.9736067302340338
11,A,B,0.023175975987933924
11,A,C,0.0021352781057597313
11,A,D,0.0010820156722723753
11,B,A,0.02843877142377887
11,B,B,0.9350559250594132
11,B,C,0.031230183077514566
11,B,D,0.005275120439293358
11,C,A,0.009376683342686036
11,C,B,0.05778547666568592
11,C,C,0.9173093992745118
11,C,D,0.015528440717116277
11,D,A,0.0
11,D,B,0.0
11,D,C,0.0
11,D,D,1.0
12,A,A,0.9753300257371696
12,A,B,0.021720934970705135
12,A,C,0.0019681719780597364
12,A,D,0.0009808673140655334
12,B,A,0.03039458617100467
12,B,B,0.934965200941986
12,B,C,0.0297054908318789
12,B,D,0.004934722055130463
12,C,A,0.010158648865943672
12,C,B,0.060553831436204665
12,C,C,0.9144145192222571
12,C,D,0.014873000475594561
12,D,A,0.0
12,D,B,0.0
12,D,C,0.0
12,D,D,1.0
13,A,A,0.9766380784583877
13,A,B,0.02061288877944773
13,A,C,0.0018428626164933499
13,A,D,0.0009061701456712745
13,B,A,0.03206350859887439
13,B,B,0.9347350800694598
13,B,C,0.028525846568301223
13,B,D,0.004675564763364484
13,C,A,0.010834463354978608
13,C,B,0.06287126899603156
13,C,C,0.9119319384746374
13,C,D,0.014362329174352404
13,D,A,0.0
13,D,B,0.0
13,D,C,0.0
13,D,D,1.0
14,A,A,0.9776315372877212
14,A,B,0.019769171682824924
14,A,C,0.001748616568366973
14,A,D,0.0008506744610868843
14,B,A,0.03345572711178702
14,B,B,0.9344499263548568
14,B,C,0.027616083149669624
14,B,D,0.004478263383686448
14,C,A,0.011403996607628628
14,C,B,0.06477477786008719
14,C,C,0.9098549866012338
14,C,D,0.013966238931050411
14,D,A,0.0
14,D,B,0.0
14,D,C,0.0
14,D,D,1.0
15,A,A,0.9783882714885412
15,A,B,0.01912520714545301
15,A,C,0.0016773846859346572
15,A,D,0.000809136680071135
15,B,A,0.03459822479136815
15,B,B,0.9341594615185614
15,B,C,0.026914622583546093
15,B,D,0.004327691106524233
15,C,A,0.011875157283509425
15,C,B,0.0663176369905163
15,C,C,0.9081477689554325
15,C,D,0.013659436770541756
15,D,A,0.0
15,D,B,0.0
15,D,C,0.0
15,D,D,1.0
16,A,A,0.9789667176350346
16,A,B,0.018632190586230484
16,A,C,0.0016232698194636383
16,A,D,0.0007778219592713139
16,B,A,0.03552445160935326
16,B,B,0.9338898692001109
16,B,C,0.0263732561136288
16,B,D,0.004212423076907213
16,C,A,0.012259563924164605
16,C,B,0.06755620356645338
16,C,C,0.9067624423716042
16,C,D,0.013421790137777771
16,D,A,0.0
16,D,B,0.0
16,D,C,0.0
16,D,D,1.0
17,A,A,0.9794103772686201
17,A,B,0.018253592578958065
17,A,C,0.001581965704905617
17,A,D,0.0007540644475161216
17,B,A,0.03626848550505722
17,B,B,0.9336527126672002
17,B,C,0.0259548902648089
17,B,D,0.004123911562933737
17,C,A,0.01256990106935249
