t,from,to,P
1,A,A,0.9769449758960252
1,A,B,0.0203524516868331
1,A,C,0.0018136613087926306
1,A,D,0.0008889111083490197
1,B,A,0.03248132674096823
1,B,B,0.934657897490456
1,B,C,0.02824611652866734
1,B,D,0.0046146592399084795
1,C,A,0.011004844485770866
1,C,B,0.06344529804390402
1,C,C,0.9113091025846075
1,C,D,0.01424075488571757
1,D,A,0.0
1,D,B,0.0
1,D,C,0.0
1,D,D,1.0
2,A,A,0.972429094053456
2,A,B,0.02416730203075516
2,A,C,0.002250730647829943
2,A,D,0.0011528732679588598
2,B,A,0.02723764769969231
2,B,B,0.9350010853788636
2,B,C,0.032254170644117536
2,B,D,0.005507096277326451
2,C,A,0.008902058009595395
2,C,B,0.05605543804081958
2,C,C,0.9190766123560346
2,C,D,0.015965891593550493
2,D,A,0.0
2,D,B,0.0
2,D,C,0.0
2,D,D,1.0
3,A,A,0.984762225514855
3,A,B,0.013652501791134038
3,A,C,0.0010988420134400636
3,A,D,0.0004864306805708127
3,B,A,0.04845284792489238
3,B,B,0.9278386528425568
3,B,C,0.02065994693130044
3,B,D,0.0030485523012502066
3,C,A,0.017829784656462556
3,C,B,0.0838549580961665
3,C,C,0.8874536641396286
3,C,D,0.010861593107742564
3,D,A,0.0
3,D,B,0.0
3,D,C,0.0
3,D,D,1.0
4,A,A,0.9837719167230826
4,A,B,0.014508933165579852
4,A,C,0.001185969563617819
4,A,D,0.0005331805477197505
4,B,A,0.04562588631938164
4,B,B,0.929447073799123
4,B,C,0.02167836648377633
4,B,D,0.0032486733977191355
4,C,A,0.01658151222068325
4,C,B,0.08043348439457668
4,C,C,0.8916593586691346
4,C,D,0.011325644715605529
4,D,A,0.0
4,D,B,0.0
4,D,C,0.0
4,D,D,1.0
5,A,A,0.9026626098429642
5,A,B,0.07991674363276832
5,A,C,0.010225125790038788
5,A,D,0.0071955207342289
5,B,A,0.007310327096842062
5,B,B,0.8939668747214217
5,B,C,0.07996533593987114
5,B,D,0.018757462241865145
5,C,A,0.001862251148250012
5,C,B,0.02213281385777815
5,C,C,0.9409730188773551
5,C,D,0.03503191611661682
5,D,A,0.0
5,D,B,0.0
5,D,C,0.0
5,D,D,1.0
6,A,A,0.9787590688162339
6,A,B,0.01880924997661057
6,A,C,0.0016426619471072996
6,A,D,0.0007890192600483062
6,B,A,0.035186415026369364
6,B,B,0.9339916447434347
6,B,C,0.026568121308842643
6,B,D,0.004253818921353382
6,C,A,0.012119021270299478
6,C,B,0.06710542096766957
6,C,C,0.9072681381110299
6,C,D,0.01350741965100104
6,D,A,0.0
6,D,B,0.0
6,D,C,0.0
6,D,D,1.0
7,A,A,0.9573602144795673
7,A,B,0.03666420842846611
